,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,BodyType,Doors,Seats,Price,extra_word,engine_capacity,engine_power,fuel_consumption_rate,colour_exterior,colour_interior,location_province,location_state
0,0,2022,0,0,0,0,0,0,5595.0,0,4.0,7.0,51990.0,0,4.0,2.2,8.7,0,0,0,0
1,1,2022,1,1,1,0,1,1,16.0,1,5.0,5.0,19990.0,1,4.0,1.5,6.7,1,0,1,0
2,2,2022,2,2,1,0,2,1,8472.0,2,2.0,4.0,108988.0,2,4.0,2.0,6.6,2,1,2,0
3,3,2011,3,2,1,0,2,1,136517.0,2,2.0,4.0,32990.0,3,8.0,5.5,11.0,0,2,3,0
4,4,2022,4,0,1,0,1,2,1035.0,0,4.0,5.0,34990.0,4,4.0,1.3,6.0,2,0,4,0
5,5,2004,5,3,1,0,3,2,160230.0,3,4.0,5.0,9990.0,5,4.0,2.2,7.6,2,3,5,0
6,6,2017,6,0,1,0,0,0,67662.0,0,2.0,4.0,62280.0,6,4.0,2.0,5.1,0,0,6,0
7,7,2000,7,1,1,0,1,2,300539.0,1,5.0,5.0,2995.0,7,4.0,1.6,8.0,3,4,7,0
8,5,2013,8,2,1,0,2,1,82012.0,2,2.0,4.0,24888.0,8,4.0,2.0,7.1,1,3,8,0
9,8,2014,9,1,1,0,1,3,38229.0,1,5.0,5.0,17900.0,9,4.0,1.3,4.5,4,3,9,0
10,5,2009,10,3,1,0,3,2,148190.0,3,4.0,5.0,42500.0,10,4.0,2.2,7.6,0,3,9,0
11,5,2018,10,3,1,0,2,2,16324.0,3,4.0,2.0,41999.0,11,4.0,2.7,9.8,0,4,9,0
12,5,2016,10,3,1,0,2,0,229829.0,3,4.0,2.0,27995.0,11,4.0,3.0,8.0,0,4,9,0
13,9,2012,11,1,1,0,1,1,55676.0,1,5.0,5.0,14999.0,12,4.0,1.4,6.2,0,0,10,0
14,2,2014,12,0,1,0,4,0,82624.0,0,4.0,5.0,24985.0,13,4.0,2.0,5.6,1,0,11,0
15,10,2013,13,4,1,1,3,4,120020.0,4,4.0,5.0,13999.0,14,4.0,2.2,7.6,4,4,6,0
16,2,2011,14,1,1,0,2,0,95204.0,1,5.0,5.0,13999.0,15,4.0,2.0,5.4,5,3,10,0
17,11,2014,15,1,1,0,1,2,76289.0,1,5.0,5.0,12400.0,16,3.0,1.0,5.4,0,0,12,0
18,10,2012,13,0,1,0,0,2,219681.0,0,4.0,7.0,13999.0,17,4.0,2.4,7.5,1,0,6,0
19,11,2013,15,1,1,0,1,2,98079.0,1,5.0,5.0,11999.0,18,4.0,1.6,6.1,4,0,6,0
20,9,2023,16,5,2,0,0,0,15.0,5,4.0,5.0,83887.0,19,6.0,3.0,8.4,0,0,6,0
21,8,2018,9,1,1,0,1,2,43274.0,1,5.0,5.0,19900.0,20,4.0,1.5,5.8,5,0,4,0
22,12,2012,17,0,1,0,0,1,105672.0,0,4.0,5.0,17990.0,21,4.0,2.5,8.4,1,3,13,0
23,10,2018,18,1,1,0,1,2,36836.0,1,5.0,5.0,14995.0,14,3.0,1.2,4.7,1,3,14,0
24,5,2005,19,6,1,0,1,2,115821.0,6,4.0,5.0,8499.0,22,4.0,2.4,9.8,5,4,15,0
25,13,2011,20,6,1,0,1,2,189711.0,6,4.0,5.0,12990.0,23,4.0,2.4,7.9,5,0,16,0
26,11,2015,21,0,1,0,2,0,173786.0,0,4.0,7.0,16999.0,24,6.0,2.7,8.2,4,0,6,0
27,7,2018,22,0,1,0,1,2,114301.0,0,4.0,5.0,21950.0,25,4.0,2.0,6.9,4,3,17,0
28,9,2013,11,1,1,1,1,1,69197.0,1,5.0,5.0,24880.0,26,4.0,2.0,6.6,1,0,6,0
29,9,2023,23,4,2,0,1,1,15.0,4,4.0,5.0,35887.0,27,4.0,2.2,7.6,0,0,6,0
30,13,2015,24,0,1,0,1,2,94377.0,0,4.0,5.0,23888.0,28,4.0,2.0,7.9,2,3,8,0
31,11,2016,25,1,1,0,1,2,94965.0,1,5.0,5.0,16999.0,29,4.0,1.5,6.2,0,0,6,0
32,7,2019,26,0,1,0,1,2,99294.0,0,4.0,7.0,24490.0,30,4.0,2.5,8.1,2,3,6,0
33,5,2021,27,1,1,0,1,3,13694.0,1,5.0,5.0,44878.0,31,4.0,1.8,4.2,1,3,6,0
34,5,2007,28,6,1,0,1,2,264691.0,6,4.0,5.0,7949.0,32,4.0,1.5,6.7,5,3,15,0
35,14,2012,29,4,1,0,3,2,224839.0,4,4.0,5.0,13999.0,33,4.0,2.2,7.6,3,3,18,0
36,5,2010,27,1,1,1,1,2,238270.0,1,5.0,5.0,8800.0,34,4.0,1.8,7.7,2,3,19,0
37,5,2009,10,3,1,0,2,2,76259.0,3,4.0,5.0,32900.0,10,4.0,2.2,7.6,0,0,20,0
38,14,2015,30,0,1,0,4,2,140964.0,0,4.0,5.0,13990.0,35,4.0,2.4,9.1,1,3,21,0
39,5,2003,10,3,1,0,2,2,266848.0,3,4.0,3.0,9999.0,36,4.0,2.4,0.0,0,4,10,0
40,15,2013,31,6,1,0,1,1,141000.0,6,4.0,5.0,14999.0,37,4.0,1.6,7.4,4,3,6,0
41,10,2016,32,5,1,0,4,0,240402.0,5,4.0,5.0,22750.0,38,4.0,2.4,7.6,0,3,11,0
42,3,2010,33,2,1,0,2,1,101126.0,2,2.0,4.0,21950.0,39,4.0,1.8,7.9,1,5,13,0
43,3,2013,34,1,1,0,1,1,117254.0,1,5.0,5.0,19999.0,16,4.0,2.0,6.6,0,3,10,0
44,5,2012,8,2,1,1,2,1,178747.0,2,2.0,4.0,19900.0,8,4.0,2.0,7.8,5,0,22,0
45,16,2022,35,0,1,0,0,2,10579.0,0,4.0,5.0,37990.0,40,4.0,2.5,7.5,1,0,10,0
46,5,2010,27,1,1,0,1,2,167101.0,1,5.0,5.0,12990.0,41,4.0,1.8,7.7,3,3,23,0
47,11,2013,36,6,1,0,2,2,163161.0,6,4.0,5.0,16999.0,42,6.0,4.0,9.9,4,0,6,0
48,17,2021,37,1,1,1,1,1,13200.0,1,3.0,4.0,36990.0,43,4.0,1.4,6.0,1,0,24,0
49,8,2014,38,0,1,0,4,2,103211.0,0,4.0,5.0,23880.0,44,4.0,2.4,8.7,0,6,6,0
50,5,2007,27,6,1,0,1,2,177751.0,6,4.0,5.0,10990.0,45,4.0,1.8,7.4,5,3,23,0
51,5,2016,10,7,1,0,2,2,119614.0,7,3.0,14.0,44900.0,46,4.0,2.7,10.9,5,0,20,0
52,13,2012,39,1,1,0,1,2,125546.0,1,5.0,5.0,15880.0,23,4.0,1.8,6.9,1,6,6,0
53,16,2013,40,6,1,0,1,2,163000.0,6,4.0,5.0,16995.0,47,4.0,2.5,6.6,2,0,23,0
54,5,2008,41,0,1,0,1,2,132864.0,0,4.0,7.0,19880.0,48,6.0,3.5,11.0,4,0,6,0
55,13,2018,42,0,1,0,0,0,71655.0,0,4.0,7.0,43999.0,49,4.0,2.2,7.8,0,0,25,0
56,2,2012,12,0,1,0,4,0,109459.0,0,4.0,5.0,18888.0,13,4.0,2.0,5.6,1,3,6,0
57,18,2016,43,8,1,0,1,1,65361.0,8,2.0,4.0,24995.0,50,4.0,1.6,7.5,5,7,23,0
58,3,2006,44,0,1,0,4,0,212953.0,0,4.0,5.0,9998.0,51,6.0,3.0,9.6,5,3,10,0
59,10,2009,45,6,1,0,1,2,163012.0,6,4.0,5.0,9990.0,14,4.0,2.0,8.2,3,3,23,0
60,19,2014,46,2,1,0,0,1,82119.0,2,2.0,4.0,27380.0,52,4.0,2.0,6.7,0,0,6,0
61,20,2018,47,1,1,0,1,2,42071.0,1,5.0,5.0,24999.0,53,3.0,1.0,5.4,3,0,25,0
62,14,2015,48,0,1,0,4,2,85958.0,0,4.0,5.0,17999.0,54,6.0,3.2,10.0,3,6,26,0
63,9,2011,49,0,1,0,0,1,118642.0,0,4.0,5.0,12990.0,55,4.0,2.0,8.8,1,3,9,0
64,10,2012,50,0,1,0,1,2,187265.0,0,4.0,5.0,13990.0,56,4.0,2.0,7.9,4,3,27,0
65,2,2016,51,8,1,0,2,1,118120.0,8,2.0,4.0,28990.0,57,4.0,2.0,6.4,2,0,0,0
66,13,2022,24,0,1,0,1,2,19978.0,0,4.0,5.0,36800.0,58,4.0,2.0,8.1,0,3,19,0
67,16,2011,52,6,1,0,1,2,86804.0,6,4.0,5.0,13999.0,59,4.0,2.0,8.2,2,4,15,0
68,9,2023,49,0,2,0,0,1,15.0,0,4.0,7.0,56887.0,60,4.0,2.0,8.9,1,8,6,0
69,13,2014,53,4,1,0,2,0,183550.0,4,4.0,8.0,19888.0,61,4.0,2.5,9.0,0,9,28,0
70,5,2014,28,1,1,0,1,2,191748.0,1,5.0,5.0,8995.0,62,4.0,1.3,6.3,6,0,28,0
71,5,2016,41,0,1,0,1,2,139637.0,0,4.0,7.0,31900.0,63,6.0,3.5,10.4,2,0,10,0
72,10,2013,45,6,1,0,1,2,165306.0,6,4.0,5.0,14995.0,7,4.0,2.0,7.2,2,0,23,0
73,12,2016,54,0,1,0,0,2,104887.0,0,4.0,5.0,22990.0,64,4.0,2.0,7.1,2,0,29,0
74,21,2017,55,1,1,0,1,1,72501.0,1,5.0,5.0,31990.0,65,4.0,2.0,5.5,7,3,6,0
75,22,2015,56,1,1,0,3,2,167127.0,1,4.0,5.0,12999.0,66,4.0,2.2,7.6,0,3,18,0
76,18,2010,57,5,1,1,2,2,169220.0,5,2.0,2.0,25999.0,67,8.0,6.0,14.5,1,3,6,0
77,13,2015,58,1,1,0,1,2,111783.0,1,5.0,5.0,13990.0,23,4.0,1.4,5.9,5,4,16,0
78,16,2018,59,5,1,0,2,0,97460.0,5,4.0,5.0,30990.0,68,5.0,3.2,9.3,0,4,11,0
79,16,2009,52,6,1,0,1,2,178389.0,6,4.0,5.0,8499.0,69,4.0,2.0,8.2,1,3,30,0
80,13,2011,58,1,1,0,1,2,188262.0,1,5.0,5.0,10995.0,23,4.0,1.4,6.4,4,3,23,0
81,8,2015,60,4,1,0,3,2,71059.0,4,4.0,5.0,24888.0,70,4.0,2.2,7.6,2,3,6,0
82,16,2010,61,0,1,0,0,2,152831.0,0,4.0,5.0,11669.0,71,4.0,2.3,11.5,1,10,31,0
83,14,2017,62,0,1,0,1,1,69218.0,0,4.0,5.0,24950.0,72,4.0,1.4,5.9,2,0,13,0
84,16,2013,40,6,1,0,1,2,124093.0,6,4.0,5.0,16990.0,16,4.0,2.5,6.6,0,3,32,0
85,7,2009,63,4,1,0,2,2,103090.0,4,4.0,5.0,19995.0,73,4.0,2.2,7.6,0,2,10,0
86,20,2013,29,4,1,0,1,2,98672.0,4,4.0,8.0,13995.0,74,6.0,3.5,10.9,0,3,23,0
87,10,2015,45,6,1,0,1,2,61481.0,6,4.0,5.0,17995.0,75,4.0,2.0,7.2,2,0,23,0
88,12,2018,64,1,1,0,0,2,61177.0,1,5.0,5.0,22990.0,76,4.0,2.0,6.6,2,3,21,0
89,16,2014,52,1,1,0,1,2,132648.0,1,5.0,5.0,16999.0,59,4.0,2.0,8.2,3,11,22,0
90,2,2021,65,0,1,0,0,2,31367.0,0,5.0,5.0,79988.0,77,4.0,2.0,7.3,2,3,2,0
91,16,2010,61,0,1,0,0,2,174818.0,0,4.0,5.0,12800.0,71,4.0,2.3,11.5,3,3,33,0
92,19,2015,46,2,1,0,0,1,115334.0,2,2.0,4.0,26880.0,52,4.0,2.0,6.7,2,0,6,0
93,2,2014,66,1,1,0,2,1,57000.0,1,5.0,5.0,16990.0,78,4.0,1.6,5.8,0,0,12,0
94,5,2013,10,3,1,0,3,0,191173.0,3,4.0,5.0,30900.0,79,4.0,2.2,7.6,5,0,20,0
95,19,2014,67,0,1,0,0,0,199941.0,0,4.0,7.0,28999.0,80,8.0,4.1,9.2,1,3,10,0
96,23,2015,68,1,1,0,1,2,23316.0,1,5.0,4.0,13880.0,81,3.0,1.0,4.8,4,3,6,0
97,12,2016,69,6,1,0,0,1,226127.0,6,4.0,5.0,17950.0,82,6.0,3.6,9.9,0,3,34,0
98,5,2019,70,0,1,1,1,1,58185.0,0,4.0,5.0,33888.0,56,4.0,1.2,5.4,7,3,6,0
99,12,2021,71,0,1,0,0,2,16136.0,0,4.0,5.0,39990.0,83,4.0,2.5,7.4,5,3,35,0
100,16,2015,72,0,1,0,0,2,31531.0,0,4.0,5.0,23950.0,84,4.0,2.0,6.7,0,3,36,0
101,14,2018,29,0,1,0,4,0,76472.0,0,4.0,5.0,41950.0,85,6.0,3.0,7.5,0,0,13,0
102,13,2018,39,1,1,0,1,2,62719.0,1,4.0,5.0,21999.0,23,4.0,2.0,7.4,5,0,25,0
103,7,2020,26,0,1,0,1,2,52035.0,0,4.0,5.0,27990.0,86,4.0,2.5,7.9,2,3,35,0
104,8,2010,73,6,1,0,1,2,146445.0,6,4.0,5.0,8950.0,20,4.0,1.5,6.6,1,3,37,0
105,8,2020,38,0,1,0,1,2,35214.0,0,4.0,7.0,37880.0,87,4.0,1.5,7.3,2,0,6,0
106,18,2014,74,1,1,1,1,2,163000.0,1,5.0,5.0,7950.0,88,4.0,1.6,7.4,3,3,38,0
107,14,2013,29,0,1,0,2,1,69001.0,0,4.0,5.0,24990.0,89,6.0,3.6,10.1,2,0,39,0
108,5,2007,75,0,1,0,4,2,106718.0,0,4.0,5.0,14999.0,90,4.0,2.4,9.6,5,4,15,0
109,18,2016,57,6,1,0,2,2,59689.0,6,4.0,5.0,22999.0,91,6.0,3.0,8.3,3,0,6,0
110,3,2010,76,2,1,0,2,1,177834.0,2,2.0,4.0,7999.0,92,4.0,1.8,9.0,5,3,10,0
111,24,2012,77,4,1,0,3,2,147589.0,4,4.0,5.0,10999.0,93,4.0,2.2,7.6,0,3,18,0
112,16,2013,40,6,1,0,1,2,105767.0,6,4.0,5.0,19999.0,94,4.0,2.5,6.6,0,0,25,0
